consecrate,神聖化する; 奉献する (～ a church 献堂する); (ある目的に)捧げる ((to)).
consolation,慰め(になるもの［人］).
consort,付き合う、交わる
conspicuously,目立って
consternate,驚かす、肝をつぶさせる
contemplative,瞑想にふける
continuity,連続(性); (論理的)連関(性); 撮影［放送］台本、コンテ; (放送の間に入れる)つなぎの文句［音楽］.
continuously,連続して
contradictory,矛盾する
contumely,侮辱、無礼
cordon,非常線,非常線を張る
cornucopia,豊富.豊作
coronary,心臓の,冠動脈の
corroborate,補強する、確認する、確証する
council,会議; 評議会、審議会、協議会; 地方議会; 〔英〕 (the C-) 枢密院; 討議.
countenance,顔(つき); 面目; 落ち着き; 賛成、支持
counteroffensive,反攻、逆襲
counterpart,(対(つい)の)片方、片割れ; (正副書類の)一通; 写し; 似た人［もの］.
coverage,(保険の)補償範囲、保険補償額; 報道(範囲); (広告の)分布範囲; 【放送】サービス区域.
craven,臆病な、ひきょうな、臆病者
credulous,信じ［だまされ］やすい ((of)).
crony,親友
cross my mind,ふと心に浮かぶ
crow,勝ち誇る、歓声を上げる
cue,(せりふの)渡し文句、キュー; きっかけ; 合図、ヒント; 役割; 気分; 【コンピュータ】キュー
culinary,料理の
cult,礼拝(式)、儀式; (宗教的な)信仰; 新興宗教; 崇拝、礼賛 ((of)); 熱狂、流行; ((集合的)) (主義などの)崇拝者、ファンたち
curio,(pl. ～s) 骨とう品
cursory,粗雑［ぞんざい］な; 大急ぎの
dais,演壇
damn,呪(のろ)い; 〔話〕 ((否定文で)) 少し.
dampen,低下させる、鈍らせる
daunt,気力をくじく、怖がらせる
daunt,おどかす; 気力をくじく
deaden,弱める; 鈍らせる; 無感覚にする; 音［つや］を消す; 死ぬ; 弱まる; 鈍る.
dean,学部長
debase,(品質などを)低下させる
deceitful,人をだます、偽りの、人を惑わすような
decent,品行、ふるまい
decrepit,老衰［老朽化］した
dedicated,打ち込んだ、熱心な; 【コンピュータ】専用の (～ed terminal (入力専用の)端末機).
deduction,差引、割引、控除(額); 推論［推定］; 【論】演繹(えんえき)(法) ((inductionの対)).
deem,まともな、人並みな、申し分のない
defer,延ばす［びる］、延期する; 〔米〕 (徴兵を)猶予する
degrade,降格する; 堕落［悪化］させる［する］; 価値を下げる; 【生物】退化させる; 【化】分解する
dejection,落胆、失意.
deliriously,精神錯乱して
delivery,配達; 配達回数; 配達品; 引渡し、交付; (演説の)仕方、話しぶり; 分娩、出産; 投球(法); 解放.
demagog,扇動(政治)家
demeanor,考える、思う
demise,消滅、絶滅、終焉
denouement,結末、解決、けり
denunciate,非難する、告発する
deplete,からにする、涸渇(こかつ)させる ((of)).
deportment,(特に、若い女性の人前での)態度
depravity,堕落; 不善、悪行
depression,下落; 沈下; くぼみ; 【気象】(気圧の)低下; 不況; (the D-) 世界大恐慌 (Great Depression); 意気消沈; 【医】うつ病; 衰弱; 【コンピュータ】解凍、展開.
deride,あざける (ridicule) ((as, for)); 軽蔑する.
detergent,洗浄の; 洗浄剤、(特に)合成洗剤
deteriorate,悪化［低下・堕落］させる［する］.
detour,回り道(をさせる［する］).
devout,信心深い、熱烈な
dialectic,弁証法; 弁証法的討論
diatribe,酷評、こきおろし
differential,差別(的)の; 特性を示す; 【数】微分の; 【機】差動の; 差; 料金［賃金］格差(率); 【数】微分学
disappearance,失踪(そう); 消失、消滅
discern,識別する、認識する
disengage,(束縛などから)自由にする［なる］、解放する ((from)); 離す［れる］ ((from)); 【軍】戦闘を停止させる［する］; 【化】遊離させる ((from)).
dishabille,普段着、略服
dismal,陰気な、悲惨な、
dismay,ろうばい、おじけ、落胆 ((in, with)).
disorder,混乱させる、
displace,置換える、移動させる; 免職にする; …に取って代る; 【海事】排水する.
disprove,反証［論破］する (refute).
disrupt,分裂する［させる］; 混乱する［させる］; 崩壊させる.
dissociate,引き離す、分離する、
distort,(顔・意味などを)ゆがめる; (映像や音声を)ひずませる.
distract,(心を)紛らす; 迷わす; 取り乱させる、狂乱させる.
disuse,使用をやめる.
dividend,配当(金); 【数】被除数.
doggedness,頑固、執念深い.
dogmatism,独断論、独断的態度、教条主義
doleful,悲嘆に暮れた、憂鬱な、
drab,(-bb-) 淡褐色(の); 単調(な)
drastic,(手段など)徹底的な、思い切った; 深刻な
dreary,わびしい、陰鬱な、荒涼とした、
drift,流れ、潮流; 漂流(物); (人の)移動; (雪・砂などの)吹寄せ、吹きだまり; 成行きまかせ; 傾向; 大意; 【言】定向変化; 【採鉱】沿層坑道; 偏流; 【電気】ドリフト.
dual,2の、2重の、2重性の; 2元的な; 2重人格の
duck,避ける、かわす、
dud,失敗
duel,決闘; 腕比べ; 争い、論争.
dye,染料; 染色、色合い (tint)
echelon,段階、階層
eclectic,折衷主義の、折衷主義者
ecologist,生態学者; 社会生態学者; 環境保護論者
edict,布告、命令
edifice,大建築物
edify,啓発する、教化する
effigy,像、肖像
eke out,不足を補う、[生計を]やりくりする
elation,大得意.
electron,電子
elicit,引き出す
emancipate,解放する ((from)).
emeritus,名誉～
emir,首長
emit,(光・熱などを)出す、(音声・言葉・臭いなどを)発する; (紙幣を)発行する.
enact,(法を)制定する; 命じる; (役を)演じる、上演する (play).
entourage,側近、取り巻き
entwine,絡み合わせる
epidemic,流行性の
equanimity,落ち着き、平静、均衡、調和
equation,均分(法)、均一(化); 同一視; 方程式
equilibrium,平衡、釣合; (心の)平静
equity,公平、公正; 衡平法; 【法】衡平裁定; (pl.) 固定配分のない株; (E-) 俳優組合
estrangement,疎遠、離反
ethereal,軽やかな、優美な、霊妙な
ethos,気風、精神、風潮
exaltation,高めること; 昇進; 称揚、高貴; 得意、有頂天
exemplary,模範的な、典型的な
exertion,努力; 尽力; (威力の)発揮 ((of)).
exhilarate,陽気にする、活気づける、鼓舞する
exonerate,開放する、免除する
exorbitant,法外な
expedite,促進する、早める; 手早くすます.
explicit,明白に述べられた; 明白な (clear); 腹蔵のない
expunge,抹消する、破壊する、絶滅させる
exquisite,見事な、強烈な
extirpate,根絶する、絶滅する、摘出する
extraditable,[犯人が]引き渡されるべき
extrauterine,子宮外妊娠
fabled,伝説的な、架空の、
fabricate,組立てる; (物語を)作る、でっちあげる; (文書を)偽造する
faculty,能力、才能、技能; 権限; (身体的)機能; 〔米〕 ((単複両扱い)) 教授団［陣］、全教職員; (時にF-) (大学)学部.
fanfare,誇示、虚勢、宣伝、
fatal,宿命の; 取り返しのつかない ((to)); 運命を左右する; 重大な; 致命［破滅］的な
fathom,【海事】尋(ひろ) ((6 feet)).
feasible,実行できる、可能な; ありそうな; 適当な ((for))
feast,祝祭(日) 祝宴; ごちそう; 楽しみ ((for)).
fell foul of,きげんを損なう
fester,わだかまる、
fickle,気まぐれな、移り気の、
filth,汚物、不潔、下品な言葉、堕落、
fissure,亀裂
fixation,固定; 据え付け; 【化】凝固; 【写】定着; 色留め; 【精神分析】固着 ((on)) ((性欲成熟障害)); (異常な)執着 ((about, with)).
fizzle,失敗する、水泡に帰する、
flagrant,極悪の、名うての; (過失、欠点などが)ひどい
flare,ゆらめく炎、炎のゆらめき; 火炎信号; (感情の)激発; (グラスなどの)朝顔型の開き; (ズボンの)すそ広がり; (スカートの)フレア; (pl.) らっぱズボン; 【写】フレア.
flaw,傷を生じさせる、
fleece,巻き上げる、だまし取る、
flicker,(光が)ゆらめく; ゆれ動く; 明滅する; (希望などが)ちらちらする; ちらちら動く; 翻る
flimsy,薄っぺらな、もろい; 強固でない; 軽薄な
flirt,いちゃつく、もてあそぶ、
flounder,もがく、あがく、
flout,あざ笑う、ばかにする、
fluke,まぐれ当たり、
flunk,落第点を取る、しくじる、
flurry,混乱、ろうばい、
foliage,((集合的)) (一草木の)葉; 【建】葉飾り.
folksy,庶民的な、親しみやすい、くだけた、
follwer,従者、信奉者
